Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
caddo,aba bayu (evening star),god,sky goddess and bringer of night,caddo nation,female,sky deity,"evening star, night, comfort",celestial symbols,black,"night, comfort",,,,,,,
choctaw,ababinili,spirit,ghost,choctaw nation,other,spirit,spirituality,ghost,,ghost,,,,,,,
sami,aba-jievju,spirit,water spirit,sami lands,other,mysterious and fluid,"water, lakes",water symbol,blue,"fluidity, mystery",,,,,spirits of water,,
gnostic,abatur,spirit,higher spiritual being,gnostic,other,spiritual being,"guidance, influence","light, spiritual energy",white,"spiritual guidance, wisdom",,,,,,,
arab,abraham,human,"patriarch, prophet","mesopotamia, canaan",other,"wise, faithful","monotheism, covenant",covenant with god,,"faith, obedience",married,amathlai,terach,sarah,"ishmael, isaac",,
sumerian,abzu,god,primordial freshwater ocean deity,mesopotamia,other,watery abyss,"freshwater, primordial chaos","water, sea life",blue,"primordial waters, life, chaos",,,,,various primordial beings,,
aymara,achkokiri,god,goddess of water and sea,lake titicaca,female,aquatic goddess,"water, sea, life","waves, water elements",blue,"life, water",,,,,,,
sumerian,adad,god,storm god,sumer,male,god,"storms, rain",lightning,,storm god,,,,,,,
inuit,adlivun,god,underworld goddess,arctic regions,female,mysterious and enigmatic,"underworld, spirits",cave entrance,"black, purple","mystery, spirit communication",,,,,spirits of the underworld,,
berber,admayo,god,god of trade and commerce,markets,male,shrewd and businesslike,"trade, commerce",scales,green,"prosperity, fair trade, wealth",,,,,various trade and prosperity deities,,
ligurian,aeglé,god,nymph of the ligurian sea,ligurian sea,female,graceful and oceanic,ligurian sea,sea waves,blue,"seas, oceans, grace",,oceanus,tethys,,,,
scottish/irish,aengus,god,god of love and youth,ireland,male,romantic and youthful,"love, youth","swans, harp","white, gold","love, youth",,the dagda,boann,,,,
sicilian,aetna,god,goddess of mount etna,sicily,female,fiery and volcanic,"mount etna, volcanic activity","volcano, fire",red,"transformation, power",,,,,,,
