Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Caddo,Aba Bayu (Evening Star),God,Sky Goddess and Bringer of Night,Caddo Nation,Female,Sky Deity,"Evening Star, Night, Comfort",Celestial Symbols,Black,"Night, Comfort",,,,,
Choctaw,Ababinili,Spirit,Ghost,Choctaw Nation,Other,Spirit,Spirituality,Ghost,,Ghost,,,,,
Sami,Aba-jievju,Spirit,Water Spirit,Sami Lands,Other,Mysterious and Fluid,"Water, Lakes",Water Symbol,Blue,"Fluidity, Mystery",,,,,Spirits of water
Gnostic,Abatur,Spirit,Higher Spiritual Being,Gnostic,Male,Spiritual Being,"Guidance, Influence","Light, Spiritual Energy",White,"Spiritual Guidance, Wisdom",,,,,
Arab,Abraham,Human,"Patriarch, Prophet","Mesopotamia, Canaan",Male,"Wise, Faithful","Monotheism, Covenant",Covenant with God,,"Faith, Obedience",Married,Amathlai,Terach,Sarah,"Ishmael, Isaac"
Sumerian,Abzu,God,Primordial freshwater ocean deity,Mesopotamia,Other,Watery Abyss,"Freshwater, Primordial Chaos","Water, Sea Life",Blue,"Primordial Waters, Life, Chaos",,,,,Various Primordial Beings
Aymara,Achkokiri,God,Goddess of Water and Sea,Lake Titicaca,Female,Aquatic Goddess,"Water, Sea, Life","Waves, Water Elements",Blue,"Life, Water",,,,,
Sumerian,Adad,God,Storm God,Sumer,Male,God,"Storms, Rain",Lightning,,Storm God,,,,,
Inuit,Adlivun,God,Underworld Goddess,Arctic Regions,Female,Mysterious and Enigmatic,"Underworld, Spirits",Cave Entrance,"Black, Purple","Mystery, Spirit Communication",,,,,Spirits of the underworld
Berber,Admayo,God,God of trade and commerce,Markets,Male,Shrewd and Businesslike,"Trade, commerce",Scales,Green,"Prosperity, fair trade, wealth",,,,,Various trade and prosperity deities
Ligurian,Aeglé,God,Nymph of the Ligurian Sea,Ligurian Sea,Female,Graceful and Oceanic,Ligurian Sea,Sea waves,Blue,"Seas, oceans, grace",,Oceanus,Tethys,,
